ServC	ServCl	ServB	WhichServ	wC	wCl	wB	NewHA	Cropkcal	Pastkcal	EmittedC	HabAvgImpac	HabStdImpac	DelHAvgImpac	DelHStdImpac	DelQAvgImpac	DelQStdImpac	Combokcal
NA	Cl	NA	Cl	0.05	0.9	0.05	110470874.8	6.10143E+14	3.5663E+12	-31278471632	1202.307921	655.666778	0.038425	0.127088	-0.416362	0.101959	6.13709E+14
NA	Cl	NA	Cl	0.025	0.95	0.025	109360817.3	6.058E+14	3.54462E+12	-31272166129	1237.864662	665.738244	0.044189	0.109282	-0.416682	0.092863	6.09345E+14
NA	Cl	NA	Cl	0	1	0	108846404.7	6.03378E+14	3.53642E+12	-31288148241	1280.641205	675.62281	0.046107	0.101685	-0.416196	0.088409	6.06915E+14
NA	NA	B	B	0.5	0.5	0	110019424	5.71584E+14	2.97445E+12	-18631916295	937.350713	525.576837	0.159293	0.325779	-0.702445	0.348801	5.74558E+14
NA	NA	B	B	0.475	0.475	0.05	107932458.4	5.59583E+14	2.89905E+12	-17924092031	870.606461	452.634163	0.16272	0.332647	-0.714477	0.348886	5.62482E+14
NA	NA	B	B	0.45	0.45	0.1	109029630.5	5.65339E+14	2.9232E+12	-18173822229	817.888335	379.876494	0.168482	0.336927	-0.724323	0.347582	5.68262E+14
NA	NA	B	B	0.425	0.425	0.15	108177111.4	5.60871E+14	2.89457E+12	-18003141576	782.308934	335.215276	0.172557	0.340326	-0.731439	0.34767	5.63766E+14
NA	NA	B	B	0.4	0.4	0.2	110327521.7	5.73052E+14	2.95846E+12	-18660121275	758.425778	302.612074	0.178003	0.342718	-0.736908	0.347759	5.7601E+14
NA	NA	B	B	0.375	0.375	0.25	110215391.4	5.72943E+14	2.95131E+12	-18727445733	735.921733	272.110253	0.182978	0.345149	-0.742833	0.34819	5.75895E+14
NA	NA	B	B	0.35	0.35	0.3	107924737.1	5.61133E+14	2.87764E+12	-18271116782	709.902455	224.854208	0.187373	0.348146	-0.7502	0.3488	5.64011E+14
C	NA	NA	C	0.2	0.4	0.4	108661132.1	5.74166E+14	3.06909E+12	-22285574010	687.242719	193.37605	0.097109	0.310186	-0.63933	0.31287	5.77235E+14
NA	NA	B	B	0.325	0.325	0.35	108348985.6	5.64388E+14	2.89106E+12	-18461275846	692.22025	197.427886	0.1939	0.350278	-0.757286	0.349276	5.67279E+14
NA	NA	B	B	0.3	0.3	0.4	108585790.5	5.66741E+14	2.90092E+12	-18590010784	679.561715	184.84768	0.201227	0.351556	-0.764353	0.349706	5.69641E+14
NA	NA	B	B	0.275	0.275	0.45	108573844.9	5.6807E+14	2.89931E+12	-18661181421	666.86918	173.147203	0.210378	0.352239	-0.773258	0.349938	5.7097E+14
NA	NA	B	B	0.25	0.25	0.5	108709544.2	5.70426E+14	2.90088E+12	-18798120170	653.987275	161.762648	0.220354	0.352904	-0.783397	0.349648	5.73327E+14
NA	NA	B	B	0.225	0.225	0.55	109589556.7	5.76943E+14	2.92215E+12	-19115972607	642.154416	151.094001	0.231903	0.352083	-0.795113	0.349008	5.79865E+14
NA	NA	B	B	0.2	0.2	0.6	110480872	5.83381E+14	2.93837E+12	-19424845331	630.142359	140.574204	0.24568	0.351894	-0.810154	0.34815	5.86319E+14
NA	NA	B	B	0.175	0.175	0.65	108620724.4	5.74265E+14	2.8662E+12	-19090873508	617.15035	131.560068	0.257893	0.354813	-0.826221	0.348593	5.77131E+14
NA	NA	B	B	0.15	0.15	0.7	110822296.5	5.87573E+14	2.91181E+12	-19929403107	605.152631	121.876983	0.272097	0.355735	-0.841192	0.347336	5.90485E+14
NA	NA	B	B	0.125	0.125	0.75	110474197.5	5.86764E+14	2.88518E+12	-20306456647	593.526041	113.942134	0.283015	0.358107	-0.850283	0.344849	5.89649E+14
NA	NA	B	B	0.1	0.1	0.8	109950022.4	5.8492E+14	2.84233E+12	-20601204597	583.363977	107.1563	0.297068	0.359383	-0.861356	0.340527	5.87762E+14
C	NA	NA	C	0.25	0.375	0.375	109189547.7	5.73123E+14	3.01995E+12	-20639783122	692.292502	193.826975	0.128598	0.323462	-0.683734	0.331301	5.76143E+14
NA	NA	B	B	0.075	0.075	0.85	109881489.6	5.85575E+14	2.81976E+12	-21176535524	575.032201	101.539463	0.312017	0.35974	-0.872841	0.334994	5.88395E+14
NA	NA	B	B	0.05	0.05	0.9	109976484.5	5.87885E+14	2.81211E+12	-22162898954	567.773831	96.304092	0.3295	0.358687	-0.886311	0.326438	5.90697E+14
