"wC"	"wCl"	"wB"	"NewHA"	"Cropkcal"	"Pastkcal"	"EmittedC"	"HabAvgImpac"	"HabStdImpac"	"DelHAvgImpac"	"DelHStdImpac"	"DelQAvgImpac"	"DelQStdImpac"	"ClimRegIndexAvgImpac"	"ClimRegIndexStdImpac"	"Combokcal"	"SimulationFactor"
"0.25"	"0.525"	"0.225"	"112740000"	"6.0446e+14"	"3.3633e+12"	"-2.5634e+10"	"627.3"	"204.92"	"0.074446"	"0.22908"	"-0.54177"	"0.27711"	"0.2939"	"0.1559"	"6.0783e+14"	"AllLand"
"0.25"	"0.5625"	"0.1875"	"110840000"	"5.9816e+14"	"3.3959e+12"	"-2.7106e+10"	"657.65"	"208.41"	"0.049801"	"0.20494"	"-0.48922"	"0.2272"	"0.26115"	"0.12579"	"6.0155e+14"	"AllLand"
"0.25"	"0.6"	"0.15"	"114030000"	"6.1799e+14"	"3.5419e+12"	"-2.9115e+10"	"680.62"	"215.11"	"0.039147"	"0.19195"	"-0.46078"	"0.1872"	"0.24429"	"0.10266"	"6.2153e+14"	"AllLand"
"0.25"	"0.6375"	"0.1125"	"109110000"	"5.9278e+14"	"3.4274e+12"	"-2.8541e+10"	"696.92"	"222.17"	"0.029834"	"0.18112"	"-0.43812"	"0.15299"	"0.23076"	"0.083117"	"5.9621e+14"	"AllLand"
"0.25"	"0.675"	"0.075"	"109990000"	"5.9852e+14"	"3.4704e+12"	"-2.916e+10"	"707.77"	"228.94"	"0.029786"	"0.17578"	"-0.4316"	"0.13866"	"0.22663"	"0.075071"	"6.0199e+14"	"AllLand"
"0.25"	"0.7125"	"0.0375"	"110400000"	"6.017e+14"	"3.4981e+12"	"-2.9677e+10"	"717.27"	"233.75"	"0.028883"	"0.17239"	"-0.42584"	"0.12431"	"0.22317"	"0.06716"	"6.052e+14"	"AllLand"
"0.25"	"0.75"	"0"	"110820000"	"6.0485e+14"	"3.5208e+12"	"-3.0062e+10"	"724.79"	"237.19"	"0.029494"	"0.16765"	"-0.42331"	"0.11667"	"0.22099"	"0.061916"	"6.0837e+14"	"AllLand"
"0.3"	"0"	"0.7"	"108270000"	"5.5815e+14"	"2.5798e+12"	"-1.4816e+10"	"510.2"	"94.569"	"0.40121"	"0.32588"	"-0.98835"	"0.29997"	"0.61183"	"0.17402"	"5.6073e+14"	"AllLand"
"0.3"	"0.035"	"0.665"	"107950000"	"5.5672e+14"	"2.5783e+12"	"-1.4767e+10"	"511.25"	"99.136"	"0.39176"	"0.32842"	"-0.97621"	"0.30777"	"0.60323"	"0.18023"	"5.593e+14"	"AllLand"
"0.3"	"0.07"	"0.63"	"108020000"	"5.5751e+14"	"2.5913e+12"	"-1.4857e+10"	"512.74"	"104.54"	"0.38054"	"0.33117"	"-0.96198"	"0.31598"	"0.59312"	"0.18677"	"5.601e+14"	"AllLand"
"0"	"0.6"	"0.4"	"111110000"	"6.1278e+14"	"3.5347e+12"	"-3.1813e+10"	"650.83"	"131.48"	"0.041762"	"0.12923"	"-0.43269"	"0.10558"	"0.21672"	"0.051646"	"6.1631e+14"	"AllLand"
"0.3"	"0.105"	"0.595"	"108580000"	"5.6113e+14"	"2.6218e+12"	"-1.5153e+10"	"514.31"	"109.85"	"0.36763"	"0.33353"	"-0.94535"	"0.32479"	"0.58119"	"0.19394"	"5.6376e+14"	"AllLand"
"0.3"	"0.14"	"0.56"	"109780000"	"5.6837e+14"	"2.6792e+12"	"-1.5696e+10"	"516.49"	"114.6"	"0.35194"	"0.33531"	"-0.92479"	"0.33337"	"0.56646"	"0.20102"	"5.7105e+14"	"AllLand"
"0.3"	"0.175"	"0.525"	"111690000"	"5.7963e+14"	"2.7702e+12"	"-1.658e+10"	"520.34"	"120.73"	"0.3307"	"0.33708"	"-0.89746"	"0.34173"	"0.54688"	"0.20814"	"5.824e+14"	"AllLand"
"0.3"	"0.21"	"0.49"	"108880000"	"5.6488e+14"	"2.7379e+12"	"-1.6423e+10"	"524.04"	"128.9"	"0.30515"	"0.33943"	"-0.86806"	"0.34849"	"0.5259"	"0.21227"	"5.6762e+14"	"AllLand"
"0.3"	"0.245"	"0.455"	"112400000"	"5.8497e+14"	"2.8813e+12"	"-1.7804e+10"	"530.7"	"136.73"	"0.2815"	"0.33768"	"-0.83742"	"0.35258"	"0.50395"	"0.21554"	"5.8785e+14"	"AllLand"
"0.3"	"0.28"	"0.42"	"1.12e+08"	"5.8385e+14"	"2.9192e+12"	"-1.8355e+10"	"536.94"	"146.99"	"0.25123"	"0.33395"	"-0.80214"	"0.35408"	"0.4784"	"0.21475"	"5.8677e+14"	"AllLand"
"0.3"	"0.315"	"0.385"	"108750000"	"5.6698e+14"	"2.8696e+12"	"-1.824e+10"	"543.17"	"159.81"	"0.2105"	"0.32491"	"-0.75885"	"0.3503"	"0.4467"	"0.2066"	"5.6985e+14"	"AllLand"
"0.3"	"0.35"	"0.35"	"110320000"	"5.7671e+14"	"2.9625e+12"	"-1.9233e+10"	"553.26"	"172.04"	"0.17833"	"0.31467"	"-0.72056"	"0.34635"	"0.41909"	"0.20062"	"5.7967e+14"	"AllLand"
"0.3"	"0.385"	"0.315"	"111150000"	"5.8234e+14"	"3.0294e+12"	"-1.9969e+10"	"563.59"	"184.23"	"0.15302"	"0.30678"	"-0.68999"	"0.34342"	"0.39738"	"0.19631"	"5.8537e+14"	"AllLand"
"0.3"	"0.42"	"0.28"	"110790000"	"5.8147e+14"	"3.0553e+12"	"-2.0336e+10"	"572.86"	"194.4"	"0.13512"	"0.30172"	"-0.66771"	"0.34153"	"0.38191"	"0.19385"	"5.8453e+14"	"AllLand"
"0"	"0.65"	"0.35"	"111750000"	"6.1728e+14"	"3.5683e+12"	"-3.2096e+10"	"662.09"	"139.53"	"0.043023"	"0.1229"	"-0.42866"	"0.1043"	"0.2137"	"0.048564"	"6.2085e+14"	"AllLand"
"0.3"	"0.455"	"0.245"	"108880000"	"5.7216e+14"	"3.0352e+12"	"-2.0391e+10"	"582.5"	"204.82"	"0.12008"	"0.29581"	"-0.64682"	"0.33799"	"0.36772"	"0.1907"	"5.752e+14"	"AllLand"
"0.3"	"0.49"	"0.21"	"113470000"	"5.9982e+14"	"3.229e+12"	"-2.2434e+10"	"599"	"213.16"	"0.10864"	"0.27835"	"-0.62033"	"0.3272"	"0.34823"	"0.18513"	"6.0305e+14"	"AllLand"
"0.3"	"0.525"	"0.175"	"111300000"	"5.9081e+14"	"3.2152e+12"	"-2.2834e+10"	"614.33"	"221.43"	"0.098527"	"0.25954"	"-0.59594"	"0.3154"	"0.33045"	"0.17828"	"5.9402e+14"	"AllLand"
"0.3"	"0.56"	"0.14"	"108800000"	"5.8081e+14"	"3.2108e+12"	"-2.3717e+10"	"639.13"	"232.03"	"0.079708"	"0.23985"	"-0.5563"	"0.29119"	"0.30435"	"0.16373"	"5.8402e+14"	"AllLand"
"0.3"	"0.595"	"0.105"	"113480000"	"6.0985e+14"	"3.4313e+12"	"-2.6614e+10"	"666.13"	"236.97"	"0.061098"	"0.22097"	"-0.516"	"0.25579"	"0.27861"	"0.14273"	"6.1328e+14"	"AllLand"
"0.3"	"0.63"	"0.07"	"110990000"	"5.9894e+14"	"3.4179e+12"	"-2.7365e+10"	"691"	"241.43"	"0.041732"	"0.20635"	"-0.47604"	"0.2127"	"0.25475"	"0.11755"	"6.0236e+14"	"AllLand"
"0.3"	"0.665"	"0.035"	"113380000"	"6.1404e+14"	"3.5314e+12"	"-2.8949e+10"	"708.2"	"243.82"	"0.032678"	"0.19776"	"-0.45466"	"0.17947"	"0.24231"	"0.098784"	"6.1757e+14"	"AllLand"
"0.3"	"0.7"	"0"	"108060000"	"5.8622e+14"	"3.3897e+12"	"-2.8032e+10"	"719.92"	"247.28"	"0.025666"	"0.19102"	"-0.43818"	"0.15525"	"0.23252"	"0.085371"	"5.8961e+14"	"AllLand"
"0.35"	"0"	"0.65"	"112040000"	"5.786e+14"	"2.6766e+12"	"-1.5502e+10"	"517.84"	"106.85"	"0.40079"	"0.32577"	"-0.98406"	"0.30169"	"0.60994"	"0.17511"	"5.8127e+14"	"AllLand"
"0.35"	"0.0325"	"0.6175"	"111950000"	"5.7835e+14"	"2.6799e+12"	"-1.5495e+10"	"518.7"	"110.68"	"0.39318"	"0.32766"	"-0.97453"	"0.30758"	"0.60304"	"0.18"	"5.8103e+14"	"AllLand"
"0"	"0.7"	"0.3"	"111480000"	"6.1666e+14"	"3.5709e+12"	"-3.2046e+10"	"671.59"	"147.74"	"0.044305"	"0.11863"	"-0.4248"	"0.10071"	"0.21147"	"0.0463"	"6.2023e+14"	"AllLand"
"0.35"	"0.065"	"0.585"	"112080000"	"5.7935e+14"	"2.6928e+12"	"-1.5573e+10"	"519.67"	"114.09"	"0.38455"	"0.32959"	"-0.96333"	"0.31352"	"0.59514"	"0.18481"	"5.8204e+14"	"AllLand"
"0.35"	"0.0975"	"0.5525"	"112330000"	"5.8107e+14"	"2.7123e+12"	"-1.5714e+10"	"521.55"	"119.36"	"0.37404"	"0.33217"	"-0.95033"	"0.32046"	"0.58589"	"0.19036"	"5.8378e+14"	"AllLand"
"0.35"	"0.13"	"0.52"	"1.13e+08"	"5.8515e+14"	"2.7497e+12"	"-1.6007e+10"	"523.67"	"124.47"	"0.36259"	"0.33443"	"-0.93561"	"0.32777"	"0.57542"	"0.19639"	"5.879e+14"	"AllLand"
"0.35"	"0.1625"	"0.4875"	"108270000"	"5.5958e+14"	"2.6472e+12"	"-1.5142e+10"	"524.76"	"130.15"	"0.3469"	"0.33912"	"-0.91908"	"0.33555"	"0.56365"	"0.20135"	"5.6223e+14"	"AllLand"
