"wC"	"wCl"	"wB"	"NewHA"	"Cropkcal"	"Pastkcal"	"EmittedC"	"HabAvgImpac"	"HabStdImpac"	"DelHAvgImpac"	"DelHStdImpac"	"DelQAvgImpac"	"DelQStdImpac"	"ClimRegIndexAvgImpac"	"ClimRegIndexStdImpac"	"Combokcal"	"SimulationFactor"
"0.4"	"0.51"	"0.09"	"1.1e+08"	"5.754e+14"	"3.0424e+12"	"-1.9836e+10"	"614.07"	"251.71"	"0.12737"	"0.30677"	"-0.65936"	"0.3432"	"0.37871"	"0.19391"	"5.7844e+14"	"AllLand"
"0.4"	"0.54"	"0.06"	"113560000"	"5.9624e+14"	"3.1792e+12"	"-2.1253e+10"	"625.7"	"258.43"	"0.11912"	"0.29663"	"-0.64264"	"0.33732"	"0.36633"	"0.19083"	"5.9942e+14"	"AllLand"
"0.4"	"0.57"	"0.03"	"110320000"	"5.8054e+14"	"3.1157e+12"	"-2.1058e+10"	"636.22"	"265.62"	"0.11051"	"0.28426"	"-0.6261"	"0.33121"	"0.35405"	"0.18648"	"5.8365e+14"	"AllLand"
"0.4"	"0.6"	"0"	"113320000"	"5.9912e+14"	"3.2495e+12"	"-2.2585e+10"	"649.2"	"269.24"	"0.10342"	"0.26962"	"-0.60743"	"0.32069"	"0.34016"	"0.18102"	"6.0237e+14"	"AllLand"
"0"	"0.9"	"0.1"	"111770000"	"6.1977e+14"	"3.6177e+12"	"-3.2161e+10"	"707.7"	"188.14"	"0.048462"	"0.10421"	"-0.41886"	"0.090689"	"0.20725"	"0.041043"	"6.2339e+14"	"AllLand"
"0.45"	"0"	"0.55"	"109970000"	"5.6694e+14"	"2.6267e+12"	"-1.4812e+10"	"526.28"	"125.44"	"0.3988"	"0.33121"	"-0.98277"	"0.30533"	"0.61039"	"0.17559"	"5.6957e+14"	"AllLand"
"0.45"	"0.0275"	"0.5225"	"109930000"	"5.6676e+14"	"2.6302e+12"	"-1.4788e+10"	"527.42"	"128.94"	"0.3933"	"0.3329"	"-0.97609"	"0.30905"	"0.60568"	"0.17867"	"5.6939e+14"	"AllLand"
"0.45"	"0.055"	"0.495"	"110050000"	"5.675e+14"	"2.6397e+12"	"-1.4814e+10"	"528.85"	"132.85"	"0.38703"	"0.33446"	"-0.9682"	"0.31341"	"0.60008"	"0.18231"	"5.7014e+14"	"AllLand"
"0.45"	"0.0825"	"0.4675"	"110200000"	"5.6846e+14"	"2.6522e+12"	"-1.4861e+10"	"530.81"	"138.33"	"0.37992"	"0.33638"	"-0.95946"	"0.31794"	"0.59393"	"0.18602"	"5.7111e+14"	"AllLand"
"0.45"	"0.11"	"0.44"	"110450000"	"5.6999e+14"	"2.6676e+12"	"-1.4945e+10"	"533.03"	"143.97"	"0.37288"	"0.338"	"-0.95054"	"0.32236"	"0.58765"	"0.18958"	"5.7265e+14"	"AllLand"
"0.45"	"0.1375"	"0.4125"	"110850000"	"5.7221e+14"	"2.691e+12"	"-1.5105e+10"	"535.68"	"149.62"	"0.36439"	"0.33923"	"-0.93947"	"0.32705"	"0.57972"	"0.19373"	"5.749e+14"	"AllLand"
"0.45"	"0.165"	"0.385"	"111460000"	"5.7568e+14"	"2.7215e+12"	"-1.5356e+10"	"538.89"	"155.89"	"0.35448"	"0.34082"	"-0.92692"	"0.33191"	"0.57083"	"0.19777"	"5.7841e+14"	"AllLand"
"0.45"	"0.1925"	"0.3575"	"112220000"	"5.8003e+14"	"2.7589e+12"	"-1.5693e+10"	"542.68"	"162.21"	"0.34315"	"0.34213"	"-0.91238"	"0.33653"	"0.56058"	"0.20161"	"5.8279e+14"	"AllLand"
"0.45"	"0.22"	"0.33"	"113310000"	"5.862e+14"	"2.8097e+12"	"-1.6173e+10"	"547.06"	"168.06"	"0.33005"	"0.3429"	"-0.89575"	"0.34025"	"0.54872"	"0.20498"	"5.8901e+14"	"AllLand"
"0.45"	"0.2475"	"0.3025"	"109120000"	"5.6339e+14"	"2.7179e+12"	"-1.5473e+10"	"550.03"	"175.81"	"0.31475"	"0.34627"	"-0.88009"	"0.34554"	"0.53756"	"0.20794"	"5.6611e+14"	"AllLand"
"0"	"0.05"	"0.95"	"110310000"	"5.7761e+14"	"2.7298e+12"	"-2.0247e+10"	"465.96"	"47.397"	"0.31569"	"0.3126"	"-0.91027"	"0.32147"	"0.54132"	"0.19185"	"5.8034e+14"	"AllLand"
"0"	"0.95"	"0.05"	"111910000"	"6.2087e+14"	"3.6244e+12"	"-3.2218e+10"	"714.49"	"197.3"	"0.04909"	"0.10301"	"-0.41853"	"0.089067"	"0.20711"	"0.040713"	"6.2449e+14"	"AllLand"
"0.45"	"0.275"	"0.275"	"111260000"	"5.7531e+14"	"2.8033e+12"	"-1.6289e+10"	"555.95"	"183.91"	"0.29929"	"0.34648"	"-0.86077"	"0.34973"	"0.52367"	"0.21155"	"5.7811e+14"	"AllLand"
"0.45"	"0.3025"	"0.2475"	"108160000"	"5.5869e+14"	"2.7433e+12"	"-1.5887e+10"	"559.86"	"191.65"	"0.28236"	"0.34843"	"-0.8432"	"0.35392"	"0.51115"	"0.2134"	"5.6143e+14"	"AllLand"
"0.45"	"0.33"	"0.22"	"111040000"	"5.7511e+14"	"2.8575e+12"	"-1.696e+10"	"567.85"	"200.92"	"0.26532"	"0.34719"	"-0.8209"	"0.35711"	"0.49535"	"0.21611"	"5.7796e+14"	"AllLand"
"0.45"	"0.3575"	"0.1925"	"108940000"	"5.6408e+14"	"2.8269e+12"	"-1.6817e+10"	"574.21"	"211.34"	"0.24617"	"0.34691"	"-0.80052"	"0.35919"	"0.48084"	"0.21608"	"5.6691e+14"	"AllLand"
"0.45"	"0.385"	"0.165"	"108040000"	"5.5987e+14"	"2.8323e+12"	"-1.7058e+10"	"582.14"	"222.11"	"0.22177"	"0.34173"	"-0.77324"	"0.35768"	"0.46113"	"0.21243"	"5.627e+14"	"AllLand"
"0.45"	"0.4125"	"0.1375"	"112990000"	"5.879e+14"	"3.0145e+12"	"-1.8794e+10"	"593.69"	"232.19"	"0.19915"	"0.3326"	"-0.74325"	"0.35365"	"0.43941"	"0.20863"	"5.9092e+14"	"AllLand"
"0.45"	"0.44"	"0.11"	"112230000"	"5.843e+14"	"3.0202e+12"	"-1.9013e+10"	"601.9"	"241.88"	"0.17697"	"0.32623"	"-0.7193"	"0.35048"	"0.42208"	"0.20344"	"5.8732e+14"	"AllLand"
"0.45"	"0.4675"	"0.0825"	"110500000"	"5.7538e+14"	"2.9918e+12"	"-1.89e+10"	"610.17"	"252.66"	"0.15994"	"0.32174"	"-0.70095"	"0.34846"	"0.4091"	"0.19958"	"5.7837e+14"	"AllLand"
"0.45"	"0.495"	"0.055"	"108720000"	"5.6606e+14"	"2.9585e+12"	"-1.8733e+10"	"617.46"	"261.86"	"0.14555"	"0.3182"	"-0.68586"	"0.34741"	"0.39844"	"0.19687"	"5.6901e+14"	"AllLand"
"0.45"	"0.5225"	"0.0275"	"112240000"	"5.8618e+14"	"3.0894e+12"	"-2.0006e+10"	"625.56"	"265.53"	"0.13539"	"0.31231"	"-0.66988"	"0.3441"	"0.38712"	"0.195"	"5.8927e+14"	"AllLand"
"0"	"1"	"0"	"112040000"	"6.2124e+14"	"3.6325e+12"	"-3.225e+10"	"722.92"	"205.77"	"0.04832"	"0.10333"	"-0.41913"	"0.090014"	"0.20726"	"0.040698"	"6.2487e+14"	"AllLand"
"0.45"	"0.55"	"0"	"109410000"	"5.7112e+14"	"3.0202e+12"	"-1.9534e+10"	"632.26"	"272.61"	"0.12681"	"0.30954"	"-0.66025"	"0.34331"	"0.38052"	"0.19326"	"5.7414e+14"	"AllLand"
"0.5"	"0"	"0.5"	"109430000"	"5.6374e+14"	"2.615e+12"	"-1.4608e+10"	"530.16"	"134.07"	"0.3972"	"0.33382"	"-0.98166"	"0.30672"	"0.6101"	"0.17592"	"5.6635e+14"	"AllLand"
"0.5"	"0.025"	"0.475"	"109410000"	"5.6368e+14"	"2.6194e+12"	"-1.4579e+10"	"531.72"	"138.81"	"0.39238"	"0.33521"	"-0.97565"	"0.31024"	"0.60589"	"0.1788"	"5.663e+14"	"AllLand"
"0.5"	"0.05"	"0.45"	"109460000"	"5.6395e+14"	"2.6257e+12"	"-1.4576e+10"	"533.37"	"143.14"	"0.38715"	"0.33662"	"-0.96925"	"0.31356"	"0.60136"	"0.18158"	"5.6657e+14"	"AllLand"
"0.5"	"0.075"	"0.425"	"109590000"	"5.6476e+14"	"2.6368e+12"	"-1.4604e+10"	"535.37"	"148.38"	"0.3813"	"0.33818"	"-0.96198"	"0.31754"	"0.59622"	"0.18491"	"5.674e+14"	"AllLand"
"0.5"	"0.1"	"0.4"	"109800000"	"5.6594e+14"	"2.6488e+12"	"-1.467e+10"	"537.23"	"152.64"	"0.37549"	"0.33923"	"-0.95458"	"0.3211"	"0.59093"	"0.18789"	"5.6858e+14"	"AllLand"
"0.5"	"0.125"	"0.375"	"1.1e+08"	"5.6694e+14"	"2.6613e+12"	"-1.4742e+10"	"539.99"	"158.54"	"0.36863"	"0.34112"	"-0.94583"	"0.32513"	"0.58499"	"0.19095"	"5.696e+14"	"AllLand"
"0.5"	"0.15"	"0.35"	"110340000"	"5.6893e+14"	"2.6799e+12"	"-1.4879e+10"	"542.76"	"163.78"	"0.36117"	"0.34258"	"-0.93633"	"0.32898"	"0.57835"	"0.19415"	"5.7161e+14"	"AllLand"
"0.5"	"0.175"	"0.325"	"110870000"	"5.7178e+14"	"2.7061e+12"	"-1.5095e+10"	"545.95"	"169.13"	"0.35239"	"0.34386"	"-0.92535"	"0.33267"	"0.57055"	"0.19736"	"5.7449e+14"	"AllLand"
"0.5"	"0.2"	"0.3"	"111460000"	"5.7516e+14"	"2.7346e+12"	"-1.5355e+10"	"549.83"	"175.29"	"0.34252"	"0.34545"	"-0.91335"	"0.33615"	"0.5621"	"0.20029"	"5.779e+14"	"AllLand"
"0.05"	"0"	"0.95"	"109500000"	"5.6858e+14"	"2.6213e+12"	"-1.8002e+10"	"471.49"	"48.536"	"0.38065"	"0.31681"	"-0.9823"	"0.30041"	"0.5967"	"0.18104"	"5.712e+14"	"AllLand"
"0.5"	"0.225"	"0.275"	"112410000"	"5.8038e+14"	"2.7775e+12"	"-1.5757e+10"	"554.09"	"181.05"	"0.33133"	"0.34631"	"-0.89912"	"0.33973"	"0.55201"	"0.20345"	"5.8315e+14"	"AllLand"
"0.5"	"0.25"	"0.25"	"113590000"	"5.8694e+14"	"2.8292e+12"	"-1.6242e+10"	"558.75"	"187.83"	"0.31988"	"0.34708"	"-0.88463"	"0.34331"	"0.54172"	"0.20661"	"5.8977e+14"	"AllLand"
"0.5"	"0.275"	"0.225"	"109430000"	"5.6413e+14"	"2.7341e+12"	"-1.5503e+10"	"561.95"	"195.87"	"0.30644"	"0.35025"	"-0.87179"	"0.34764"	"0.53259"	"0.20863"	"5.6687e+14"	"AllLand"
"0.5"	"0.3"	"0.2"	"111290000"	"5.7474e+14"	"2.8114e+12"	"-1.6231e+10"	"568.08"	"203.29"	"0.29312"	"0.34983"	"-0.85458"	"0.35161"	"0.52026"	"0.21194"	"5.7755e+14"	"AllLand"
"0.5"	"0.325"	"0.175"	"113440000"	"5.8697e+14"	"2.9007e+12"	"-1.7059e+10"	"575.38"	"211.95"	"0.27921"	"0.34894"	"-0.83642"	"0.35451"	"0.50735"	"0.21439"	"5.8987e+14"	"AllLand"
"0.5"	"0.35"	"0.15"	"110350000"	"5.703e+14"	"2.8367e+12"	"-1.661e+10"	"579.88"	"220.34"	"0.26464"	"0.35008"	"-0.82146"	"0.35747"	"0.49672"	"0.21531"	"5.7314e+14"	"AllLand"
"0.5"	"0.375"	"0.125"	"113320000"	"5.8703e+14"	"2.9502e+12"	"-1.7688e+10"	"588.59"	"229.33"	"0.24964"	"0.34799"	"-0.80174"	"0.3591"	"0.48265"	"0.21682"	"5.8998e+14"	"AllLand"
"0.5"	"0.4"	"0.1"	"111130000"	"5.7557e+14"	"2.9132e+12"	"-1.7512e+10"	"595.1"	"238.6"	"0.23152"	"0.34636"	"-0.78262"	"0.3593"	"0.46903"	"0.21504"	"5.7849e+14"	"AllLand"
"0.5"	"0.425"	"0.075"	"109770000"	"5.6868e+14"	"2.8991e+12"	"-1.7565e+10"	"603.01"	"248.83"	"0.21005"	"0.34145"	"-0.75944"	"0.35663"	"0.45239"	"0.21039"	"5.7158e+14"	"AllLand"
"0.5"	"0.45"	"0.05"	"108340000"	"5.614e+14"	"2.8793e+12"	"-1.755e+10"	"610.09"	"257.33"	"0.19023"	"0.33676"	"-0.73873"	"0.3542"	"0.43755"	"0.20583"	"5.6428e+14"	"AllLand"
"0.05"	"0.0475"	"0.9025"	"112660000"	"5.8777e+14"	"2.7564e+12"	"-1.9232e+10"	"471.9"	"49.133"	"0.34643"	"0.32044"	"-0.93838"	"0.32367"	"0.56484"	"0.19767"	"5.9053e+14"	"AllLand"
"0.5"	"0.475"	"0.025"	"112390000"	"5.8427e+14"	"3.0272e+12"	"-1.8971e+10"	"619.29"	"263.03"	"0.17363"	"0.32946"	"-0.7166"	"0.35035"	"0.42169"	"0.20245"	"5.873e+14"	"AllLand"
"0.5"	"0.5"	"0"	"110020000"	"5.7158e+14"	"2.9744e+12"	"-1.8632e+10"	"625.35"	"270.41"	"0.15929"	"0.32578"	"-0.70244"	"0.3488"	"0.41152"	"0.19894"	"5.7456e+14"	"AllLand"
"0.55"	"0"	"0.45"	"109050000"	"5.6139e+14"	"2.608e+12"	"-1.4436e+10"	"534.6"	"145.21"	"0.3955"	"0.33599"	"-0.98022"	"0.30839"	"0.60949"	"0.17659"	"5.64e+14"	"AllLand"
"0.55"	"0.0225"	"0.4275"	"109040000"	"5.6139e+14"	"2.6116e+12"	"-1.4417e+10"	"535.94"	"148.65"	"0.39137"	"0.33728"	"-0.97512"	"0.31117"	"0.60593"	"0.17886"	"5.64e+14"	"AllLand"
"0.55"	"0.045"	"0.405"	"109080000"	"5.6162e+14"	"2.618e+12"	"-1.4412e+10"	"537.42"	"152"	"0.38697"	"0.3385"	"-0.96961"	"0.31423"	"0.60206"	"0.1814"	"5.6423e+14"	"AllLand"
"0.55"	"0.0675"	"0.3825"	"109160000"	"5.6201e+14"	"2.6259e+12"	"-1.4422e+10"	"539.37"	"156.64"	"0.38206"	"0.34005"	"-0.96367"	"0.31753"	"0.59795"	"0.18399"	"5.6464e+14"	"AllLand"
"0.55"	"0.09"	"0.36"	"109300000"	"5.6273e+14"	"2.6337e+12"	"-1.4458e+10"	"541.25"	"160.81"	"0.37695"	"0.3413"	"-0.95734"	"0.32064"	"0.59352"	"0.1865"	"5.6536e+14"	"AllLand"
"0.55"	"0.1125"	"0.3375"	"109410000"	"5.6335e+14"	"2.6422e+12"	"-1.4501e+10"	"543.69"	"166.19"	"0.37133"	"0.34273"	"-0.9503"	"0.32385"	"0.58862"	"0.18911"	"5.6599e+14"	"AllLand"
"0.55"	"0.135"	"0.315"	"109700000"	"5.6492e+14"	"2.6562e+12"	"-1.4597e+10"	"546.01"	"170.69"	"0.36531"	"0.34422"	"-0.9429"	"0.32687"	"0.58351"	"0.19155"	"5.6757e+14"	"AllLand"
"0.55"	"0.1575"	"0.2925"	"109970000"	"5.6636e+14"	"2.671e+12"	"-1.4706e+10"	"549.06"	"175.71"	"0.35868"	"0.34532"	"-0.93445"	"0.32979"	"0.57764"	"0.19397"	"5.6903e+14"	"AllLand"
"0.05"	"0.095"	"0.855"	"111080000"	"5.808e+14"	"2.7717e+12"	"-1.9436e+10"	"473.38"	"53.943"	"0.30314"	"0.31807"	"-0.88775"	"0.33593"	"0.52812"	"0.20129"	"5.8357e+14"	"AllLand"
"0.55"	"0.18"	"0.27"	"110350000"	"5.6844e+14"	"2.6893e+12"	"-1.4862e+10"	"552"	"180.5"	"0.35169"	"0.34675"	"-0.92601"	"0.33262"	"0.57172"	"0.19635"	"5.7113e+14"	"AllLand"
"0.55"	"0.2025"	"0.2475"	"110840000"	"5.711e+14"	"2.7141e+12"	"-1.5075e+10"	"555.69"	"186.15"	"0.34348"	"0.34792"	"-0.91569"	"0.3358"	"0.56449"	"0.19907"	"5.7382e+14"	"AllLand"
"0.55"	"0.225"	"0.225"	"111540000"	"5.7484e+14"	"2.746e+12"	"-1.5364e+10"	"559.78"	"192.39"	"0.33453"	"0.34886"	"-0.90451"	"0.33864"	"0.55661"	"0.20154"	"5.7759e+14"	"AllLand"
"0.55"	"0.2475"	"0.2025"	"112380000"	"5.7937e+14"	"2.7835e+12"	"-1.5715e+10"	"564.15"	"198.1"	"0.32517"	"0.34969"	"-0.89278"	"0.34159"	"0.54829"	"0.20419"	"5.8215e+14"	"AllLand"
"0.55"	"0.27"	"0.18"	"113600000"	"5.8615e+14"	"2.8341e+12"	"-1.6189e+10"	"569.01"	"204.95"	"0.31511"	"0.34986"	"-0.87996"	"0.34466"	"0.53911"	"0.20685"	"5.8899e+14"	"AllLand"
"0.55"	"0.2925"	"0.1575"	"109220000"	"5.6235e+14"	"2.7314e+12"	"-1.5376e+10"	"571.84"	"212.21"	"0.30382"	"0.35278"	"-0.86946"	"0.34865"	"0.53169"	"0.20858"	"5.6508e+14"	"AllLand"
"0.55"	"0.315"	"0.135"	"110810000"	"5.7127e+14"	"2.7973e+12"	"-1.5992e+10"	"578.29"	"219.8"	"0.29252"	"0.35246"	"-0.85491"	"0.35185"	"0.52126"	"0.21134"	"5.7407e+14"	"AllLand"
"0.55"	"0.3375"	"0.1125"	"112760000"	"5.8224e+14"	"2.8759e+12"	"-1.6725e+10"	"585.23"	"228.48"	"0.28018"	"0.35213"	"-0.83932"	"0.35449"	"0.51023"	"0.21349"	"5.8512e+14"	"AllLand"
"0.55"	"0.36"	"0.09"	"109120000"	"5.6247e+14"	"2.7912e+12"	"-1.6089e+10"	"589.15"	"236.11"	"0.26798"	"0.35399"	"-0.82788"	"0.35724"	"0.50215"	"0.21417"	"5.6526e+14"	"AllLand"
"0.55"	"0.3825"	"0.0675"	"111440000"	"5.7556e+14"	"2.8807e+12"	"-1.6934e+10"	"596.21"	"242.68"	"0.25598"	"0.35251"	"-0.81195"	"0.35888"	"0.4909"	"0.21568"	"5.7844e+14"	"AllLand"
"0.05"	"0.1425"	"0.8075"	"110110000"	"5.7711e+14"	"2.8307e+12"	"-2.003e+10"	"482.04"	"66.105"	"0.24694"	"0.30754"	"-0.81632"	"0.33748"	"0.47744"	"0.1975"	"5.7994e+14"	"AllLand"
"0.55"	"0.405"	"0.045"	"108480000"	"5.5967e+14"	"2.8148e+12"	"-1.6471e+10"	"601.17"	"250.48"	"0.24237"	"0.35325"	"-0.79882"	"0.36037"	"0.48168"	"0.21521"	"5.6248e+14"	"AllLand"
"0.55"	"0.4275"	"0.0225"	"111350000"	"5.759e+14"	"2.9222e+12"	"-1.7514e+10"	"608.96"	"256.33"	"0.22842"	"0.3493"	"-0.78031"	"0.3597"	"0.46847"	"0.2145"	"5.7882e+14"	"AllLand"
"0.55"	"0.45"	"0"	"109240000"	"5.6475e+14"	"2.881e+12"	"-1.7314e+10"	"615.38"	"264.49"	"0.20997"	"0.34619"	"-0.76164"	"0.35751"	"0.45525"	"0.21027"	"5.6763e+14"	"AllLand"
"0.6"	"0"	"0.4"	"108750000"	"5.5962e+14"	"2.6024e+12"	"-1.4314e+10"	"538.2"	"152.99"	"0.3934"	"0.33819"	"-0.97838"	"0.31"	"0.60854"	"0.17728"	"5.6223e+14"	"AllLand"
"0.6"	"0.02"	"0.38"	"108750000"	"5.595e+14"	"2.6062e+12"	"-1.4289e+10"	"539.94"	"157.07"	"0.38969"	"0.33942"	"-0.97374"	"0.31265"	"0.60539"	"0.1793"	"5.6211e+14"	"AllLand"
"0.6"	"0.04"	"0.36"	"108760000"	"5.5946e+14"	"2.6104e+12"	"-1.4271e+10"	"541.79"	"161.28"	"0.38596"	"0.34078"	"-0.9691"	"0.31537"	"0.60227"	"0.18135"	"5.6207e+14"	"AllLand"
"0.6"	"0.06"	"0.34"	"108830000"	"5.5985e+14"	"2.6165e+12"	"-1.428e+10"	"543.4"	"165.03"	"0.38217"	"0.34185"	"-0.96447"	"0.31783"	"0.59902"	"0.18337"	"5.6247e+14"	"AllLand"
"0.6"	"0.08"	"0.32"	"108890000"	"5.6019e+14"	"2.6221e+12"	"-1.4293e+10"	"545.2"	"169.27"	"0.37798"	"0.34319"	"-0.95941"	"0.32036"	"0.59554"	"0.18539"	"5.6281e+14"	"AllLand"
"0.6"	"0.1"	"0.3"	"109010000"	"5.6078e+14"	"2.63e+12"	"-1.4325e+10"	"547.1"	"172.86"	"0.37357"	"0.34465"	"-0.9542"	"0.32273"	"0.59199"	"0.18725"	"5.6341e+14"	"AllLand"
"0.6"	"0.12"	"0.28"	"109200000"	"5.6179e+14"	"2.6389e+12"	"-1.4386e+10"	"549.32"	"176.87"	"0.36827"	"0.34599"	"-0.9478"	"0.32535"	"0.58754"	"0.18943"	"5.6443e+14"	"AllLand"
"0.05"	"0.19"	"0.76"	"110430000"	"5.8092e+14"	"2.9417e+12"	"-2.1397e+10"	"498.17"	"82.529"	"0.18586"	"0.2916"	"-0.7376"	"0.33006"	"0.42154"	"0.18919"	"5.8386e+14"	"AllLand"
"0.6"	"0.14"	"0.26"	"109350000"	"5.6254e+14"	"2.6472e+12"	"-1.4451e+10"	"551.68"	"181.26"	"0.36293"	"0.34725"	"-0.94129"	"0.32785"	"0.583"	"0.19147"	"5.6519e+14"	"AllLand"
"0.6"	"0.16"	"0.24"	"109620000"	"5.6399e+14"	"2.6609e+12"	"-1.4553e+10"	"554.33"	"185.36"	"0.35745"	"0.34823"	"-0.93449"	"0.33008"	"0.57827"	"0.19336"	"5.6665e+14"	"AllLand"
"0.6"	"0.18"	"0.22"	"109970000"	"5.658e+14"	"2.6774e+12"	"-1.4682e+10"	"557.33"	"190.57"	"0.35183"	"0.34926"	"-0.92739"	"0.33259"	"0.57337"	"0.1954"	"5.6848e+14"	"AllLand"
"0.6"	"0.2"	"0.2"	"110360000"	"5.6793e+14"	"2.6973e+12"	"-1.4852e+10"	"560.53"	"195.58"	"0.34523"	"0.35007"	"-0.91893"	"0.3352"	"0.56747"	"0.19761"	"5.7063e+14"	"AllLand"
"0.6"	"0.22"	"0.18"	"110860000"	"5.7053e+14"	"2.7207e+12"	"-1.5061e+10"	"564.16"	"200.47"	"0.33836"	"0.35039"	"-0.9101"	"0.33729"	"0.56113"	"0.19963"	"5.7325e+14"	"AllLand"
"0.6"	"0.24"	"0.16"	"111510000"	"5.7392e+14"	"2.7489e+12"	"-1.5318e+10"	"568.28"	"206.51"	"0.33117"	"0.35087"	"-0.90109"	"0.33959"	"0.55468"	"0.20174"	"5.7667e+14"	"AllLand"
"0.6"	"0.26"	"0.14"	"112250000"	"5.7794e+14"	"2.7811e+12"	"-1.5614e+10"	"572.63"	"212.95"	"0.32341"	"0.35166"	"-0.89159"	"0.34203"	"0.54794"	"0.20391"	"5.8072e+14"	"AllLand"
"0.6"	"0.28"	"0.12"	"113260000"	"5.8355e+14"	"2.8236e+12"	"-1.6003e+10"	"577.55"	"219.69"	"0.31484"	"0.35237"	"-0.88101"	"0.34476"	"0.54049"	"0.20613"	"5.8637e+14"	"AllLand"
"0.6"	"0.3"	"0.1"	"108640000"	"5.5831e+14"	"2.7131e+12"	"-1.5109e+10"	"580.24"	"226.4"	"0.30485"	"0.35544"	"-0.87253"	"0.34834"	"0.53447"	"0.20752"	"5.6103e+14"	"AllLand"
"0.6"	"0.32"	"0.08"	"109990000"	"5.6579e+14"	"2.7666e+12"	"-1.5614e+10"	"585.64"	"232.68"	"0.29577"	"0.35544"	"-0.8608"	"0.35102"	"0.52617"	"0.2098"	"5.6856e+14"	"AllLand"
"0.05"	"0.2375"	"0.7125"	"112720000"	"5.9656e+14"	"3.1084e+12"	"-2.3489e+10"	"515.75"	"96.893"	"0.13837"	"0.27656"	"-0.67117"	"0.31321"	"0.37597"	"0.1777"	"5.9967e+14"	"AllLand"
"0.6"	"0.34"	"0.06"	"111420000"	"5.7388e+14"	"2.8237e+12"	"-1.6168e+10"	"591.07"	"238.41"	"0.28597"	"0.35541"	"-0.84822"	"0.35343"	"0.51741"	"0.2117"	"5.767e+14"	"AllLand"
"0.6"	"0.36"	"0.04"	"113090000"	"5.8329e+14"	"2.8899e+12"	"-1.6802e+10"	"596.97"	"244.65"	"0.27576"	"0.35476"	"-0.83538"	"0.35526"	"0.50823"	"0.21329"	"5.8618e+14"	"AllLand"
"0.6"	"0.38"	"0.02"	"109140000"	"5.6176e+14"	"2.7926e+12"	"-1.605e+10"	"600.01"	"251.34"	"0.26597"	"0.3566"	"-0.82677"	"0.3574"	"0.50222"	"0.21354"	"5.6455e+14"	"AllLand"
"0.6"	"0.4"	"0"	"111100000"	"5.7278e+14"	"2.8687e+12"	"-1.6765e+10"	"606.17"	"256.52"	"0.25566"	"0.35567"	"-0.81351"	"0.35882"	"0.49292"	"0.21475"	"5.7565e+14"	"AllLand"
"0.65"	"0"	"0.35"	"108520000"	"5.5802e+14"	"2.5986e+12"	"-1.4198e+10"	"542.54"	"162.32"	"0.39112"	"0.3405"	"-0.97594"	"0.31228"	"0.60733"	"0.17833"	"5.6061e+14"	"AllLand"
"0.65"	"0.0175"	"0.3325"	"108500000"	"5.5784e+14"	"2.6005e+12"	"-1.4176e+10"	"544.16"	"166.16"	"0.3879"	"0.34184"	"-0.97225"	"0.31434"	"0.60484"	"0.17988"	"5.6044e+14"	"AllLand"
"0.65"	"0.035"	"0.315"	"108520000"	"5.5794e+14"	"2.6044e+12"	"-1.4168e+10"	"545.57"	"169.43"	"0.38508"	"0.34275"	"-0.9688"	"0.31621"	"0.60247"	"0.18135"	"5.6055e+14"	"AllLand"
"0.65"	"0.0525"	"0.2975"	"108570000"	"5.5811e+14"	"2.6095e+12"	"-1.4169e+10"	"547.24"	"173.08"	"0.38143"	"0.34442"	"-0.96474"	"0.31844"	"0.59974"	"0.18304"	"5.6072e+14"	"AllLand"
"0.65"	"0.07"	"0.28"	"108640000"	"5.5847e+14"	"2.6145e+12"	"-1.4185e+10"	"548.5"	"175.54"	"0.37826"	"0.34546"	"-0.96099"	"0.32025"	"0.59718"	"0.18443"	"5.6109e+14"	"AllLand"
"0.65"	"0.0875"	"0.2625"	"108710000"	"5.5882e+14"	"2.6195e+12"	"-1.4201e+10"	"550.48"	"179.43"	"0.37446"	"0.34652"	"-0.9565"	"0.32225"	"0.59406"	"0.18607"	"5.6144e+14"	"AllLand"
"0.05"	"0.285"	"0.665"	"112630000"	"5.9922e+14"	"3.1884e+12"	"-2.4618e+10"	"529.25"	"107.82"	"0.11023"	"0.27074"	"-0.6259"	"0.30094"	"0.34743"	"0.17233"	"6.0241e+14"	"AllLand"
"0.65"	"0.105"	"0.245"	"108870000"	"5.597e+14"	"2.6273e+12"	"-1.4246e+10"	"552.37"	"182.89"	"0.37058"	"0.34752"	"-0.95178"	"0.32411"	"0.59079"	"0.18761"	"5.6232e+14"	"AllLand"
"0.65"	"0.1225"	"0.2275"	"1.09e+08"	"5.6031e+14"	"2.6348e+12"	"-1.4289e+10"	"554.51"	"186.55"	"0.36665"	"0.34823"	"-0.94674"	"0.32592"	"0.58729"	"0.18921"	"5.6295e+14"	"AllLand"
"0.65"	"0.14"	"0.21"	"109150000"	"5.6112e+14"	"2.6422e+12"	"-1.435e+10"	"556.31"	"189.55"	"0.36249"	"0.34886"	"-0.94144"	"0.32794"	"0.58354"	"0.191"	"5.6376e+14"	"AllLand"
"0.65"	"0.1575"	"0.1925"	"109330000"	"5.6199e+14"	"2.6526e+12"	"-1.4422e+10"	"559.31"	"194.98"	"0.35778"	"0.34981"	"-0.93546"	"0.33016"	"0.57948"	"0.19268"	"5.6465e+14"	"AllLand"
