wC	wCl	wB	NewHA	Cropkcal	Pastkcal	EmittedC	HabAvgImpac	HabStdImpac	DelHAvgImpac	DelHStdImpac	DelQAvgImpac	DelQStdImpac	ClimRegIndexAvgImpac	ClimRegIndexStdImpac	Combokcal
0.3	0.105	0.595	108285391.9	5.65219E+14	2.64793E+12	-15731869871	641.712438	157.669843	0.354971	0.363785	-0.932849	0.334921	0.582553	0.190773	5.67867E+14
0.3	0.14	0.56	108826833.4	5.67857E+14	2.6882E+12	-16007841829	645.902464	160.968168	0.338283	0.365875	-0.913556	0.342184	0.568265	0.197967	5.70545E+14
0.3	0.175	0.525	110166058.6	5.75223E+14	2.76516E+12	-16674794643	650.905785	164.301551	0.316951	0.367536	-0.889522	0.350132	0.549939	0.206393	5.77988E+14
0.3	0.21	0.49	109283616.6	5.70188E+14	2.78864E+12	-16985244289	657.542561	168.209427	0.289532	0.367916	-0.859051	0.355296	0.527131	0.211742	5.72977E+14
0.3	0.245	0.455	109974563.9	5.74187E+14	2.86466E+12	-17888768738	665.671248	173.267201	0.255624	0.363051	-0.820885	0.35486	0.4984	0.212104	5.77051E+14
0.3	0.28	0.42	108607855.2	5.66824E+14	2.8755E+12	-18233814456	674.115488	180.319293	0.220441	0.356178	-0.784301	0.352326	0.47067	0.208816	5.697E+14
0.3	0.315	0.385	107930488.3	5.63279E+14	2.89832E+12	-18664834217	683.358454	188.290075	0.187443	0.347802	-0.75051	0.347765	0.445158	0.203383	5.66177E+14
0.3	0.35	0.35	110046943.3	5.75078E+14	2.99417E+12	-19716110809	695.504609	198.177314	0.16038	0.337542	-0.720961	0.341335	0.422875	0.197156	5.78072E+14
0.3	0.385	0.315	108376462	5.66122E+14	2.96637E+12	-19623942071	705.270281	210.070539	0.139931	0.330257	-0.700006	0.338091	0.407071	0.192737	5.69089E+14
0.3	0.42	0.28	109030740.2	5.7006E+14	3.01226E+12	-20153553904	720.831847	237.108413	0.123743	0.322826	-0.680529	0.334157	0.392633	0.189369	5.73072E+14
0	0.65	0.35	110670275.8	6.05247E+14	3.44228E+12	-30787353091	821.178607	329.580136	0.037366	0.19141	-0.470298	0.141479	0.249649	0.079442	6.08689E+14
0.3	0.455	0.245	109088977.2	5.71116E+14	3.04577E+12	-20546633164	739.746667	276.101122	0.109898	0.315804	-0.661728	0.330601	0.379204	0.186583	5.74162E+14
0.3	0.49	0.21	109234140	5.73142E+14	3.08638E+12	-21122086198	758.262182	305.428866	0.096224	0.308228	-0.641082	0.324396	0.36502	0.182786	5.76229E+14
0.3	0.525	0.175	109503098.2	5.7687E+14	3.14043E+12	-21928119532	785.458142	339.453748	0.085772	0.294458	-0.618589	0.31576	0.348796	0.178199	5.8001E+14
0.3	0.56	0.14	110420093.5	5.8527E+14	3.23133E+12	-23319902206	830.970303	391.475639	0.07319	0.275093	-0.586933	0.300469	0.326806	0.1701	5.88502E+14
0.3	0.595	0.105	109154127.8	5.8267E+14	3.2698E+12	-24559805984	900.692618	465.934444	0.055314	0.248154	-0.542787	0.272775	0.297082	0.153632	5.8594E+14
0.3	0.63	0.07	108191206.6	5.8147E+14	3.31257E+12	-25933383473	991.305553	544.850458	0.037327	0.22314	-0.494532	0.230856	0.266859	0.128247	5.84782E+14
0.3	0.665	0.035	109148377.8	5.89896E+14	3.39709E+12	-27550667721	1085.960668	604.506699	0.026368	0.204136	-0.456727	0.18418	0.244089	0.101758	5.93293E+14
0.3	0.7	0	108056600.2	5.8622E+14	3.38967E+12	-28031606064	1156.527735	639.439991	0.025666	0.191019	-0.438185	0.155246	0.232522	0.085371	5.89609E+14
0.35	0	0.65	108275313	5.64861E+14	2.61516E+12	-15515407316	644.540093	162.508192	0.388435	0.356436	-0.971521	0.317369	0.610127	0.175352	5.67476E+14
0.35	0.0325	0.6175	110455497.2	5.75934E+14	2.67487E+12	-15940282841	649.487119	166.378987	0.379723	0.358217	-0.96034	0.321952	0.602462	0.179727	5.78609E+14
0	0.7	0.3	108513824.7	5.94089E+14	3.3952E+12	-30261203920	845.13859	349.714044	0.036949	0.175485	-0.462341	0.134649	0.241583	0.071849	5.97484E+14
0.35	0.065	0.585	109864490	5.72221E+14	2.66523E+12	-15734988589	653.155997	170.111579	0.370983	0.360455	-0.950391	0.326774	0.595412	0.183873	5.74886E+14
0.35	0.0975	0.5525	109703361	5.70879E+14	2.66916E+12	-15686669557	656.674895	173.200771	0.360661	0.362843	-0.938923	0.332013	0.587114	0.188628	5.73549E+14
0.35	0.13	0.52	109924810.1	5.71461E+14	2.68846E+12	-15789465570	660.564867	176.408658	0.348518	0.365067	-0.925354	0.33756	0.577111	0.193954	5.7415E+14
0.35	0.1625	0.4875	110629029.8	5.75078E+14	2.73022E+12	-16111914240	664.882934	179.292977	0.334128	0.36645	-0.909075	0.343337	0.564765	0.199971	5.77808E+14
0.35	0.195	0.455	108589883.4	5.63891E+14	2.70446E+12	-15890975018	668.914356	182.19948	0.316265	0.368542	-0.89035	0.34916	0.550611	0.205347	5.66595E+14
0.35	0.2275	0.4225	110294801	5.73246E+14	2.79347E+12	-16757919515	676.797742	186.536464	0.293521	0.367956	-0.863611	0.353154	0.530474	0.21073	5.7604E+14
0.35	0.26	0.39	110171689.1	5.72546E+14	2.83433E+12	-17277977894	684.964271	191.397759	0.267373	0.366396	-0.834608	0.355694	0.508636	0.213748	5.7538E+14
0.35	0.2925	0.3575	108293330	5.62416E+14	2.82282E+12	-17415909399	691.731906	197.530846	0.237741	0.362115	-0.803901	0.355466	0.485406	0.212511	5.65238E+14
0.35	0.325	0.325	109821392.8	5.71258E+14	2.906E+12	-18371469908	702.103926	209.848836	0.20995	0.354319	-0.772828	0.351717	0.461944	0.209092	5.74164E+14
0.35	0.3575	0.2925	109073623	5.67543E+14	2.92154E+12	-18694315579	713.58042	230.703445	0.181289	0.345376	-0.742986	0.347271	0.439369	0.203432	5.70464E+14
0	0.75	0.25	109387834.2	6.00024E+14	3.45763E+12	-30562888089	903.384903	432.383133	0.039296	0.159212	-0.45365	0.133013	0.233246	0.067334	6.03482E+14
0.35	0.39	0.26	108311631.7	5.63744E+14	2.93121E+12	-18870326709	728.987325	262.312902	0.156174	0.336375	-0.716297	0.343233	0.419494	0.197783	5.66676E+14
0.35	0.4225	0.2275	109435674	5.70217E+14	2.99255E+12	-19458830124	744.305938	286.819245	0.139541	0.329025	-0.697264	0.340285	0.405115	0.194663	5.7321E+14
0.35	0.455	0.195	110336217.5	5.75788E+14	3.04662E+12	-20003347018	760.019685	307.947587	0.125586	0.322774	-0.68028	0.33734	0.392658	0.19198	5.78835E+14
0.35	0.4875	0.1625	110713028.7	5.78841E+14	3.08666E+12	-20469618353	778.599016	333.416858	0.114232	0.31576	-0.664267	0.334739	0.380864	0.189857	5.81927E+14
0.35	0.52	0.13	107966071.7	5.65045E+14	3.02957E+12	-20159457098	802.813848	368.449342	0.103632	0.308623	-0.647488	0.332135	0.369119	0.187549	5.68075E+14
0.35	0.5525	0.0975	108260093.8	5.69444E+14	3.08419E+12	-21029748405	848.99392	425.492447	0.093918	0.290877	-0.622514	0.324142	0.350813	0.183114	5.72528E+14
0.35	0.585	0.065	109161040.8	5.77954E+14	3.16722E+12	-22315593426	915.252088	494.340318	0.086414	0.267735	-0.593265	0.31092	0.329739	0.176	5.81121E+14
0.35	0.6175	0.0325	110779685.5	5.90613E+14	3.27972E+12	-24121590642	996.262127	561.33466	0.073571	0.247079	-0.555643	0.288517	0.30526	0.162698	5.93893E+14
0.35	0.65	0	109626597.6	5.88091E+14	3.31377E+12	-25601200807	1089.311109	617.346365	0.053901	0.225697	-0.507915	0.250257	0.275727	0.139077	5.91404E+14
0.4	0	0.6	110283806.5	5.73904E+14	2.66049E+12	-15689723467	660.862875	178.869599	0.387122	0.356192	-0.968864	0.317861	0.608505	0.176174	5.76564E+14
0	0.8	0.2	108076445.4	5.9475E+14	3.44502E+12	-30372410884	986.18163	523.757361	0.034656	0.145073	-0.438187	0.12516	0.221375	0.058372	5.98196E+14
0.4	0.03	0.57	109838086.8	5.70874E+14	2.65149E+12	-15501307260	663.985241	181.742196	0.380212	0.358263	-0.961563	0.321558	0.603193	0.179588	5.73526E+14
0.4	0.06	0.54	109487414.5	5.68559E+14	2.64594E+12	-15366961756	667.274866	184.900305	0.373342	0.359979	-0.953875	0.325431	0.597654	0.183012	5.71205E+14
0.4	0.09	0.51	109367281.5	5.67272E+14	2.64714E+12	-15309722293	670.793852	188.008402	0.365042	0.362218	-0.945126	0.329356	0.591293	0.186493	5.69919E+14
0.4	0.12	0.48	109382743.5	5.66835E+14	2.65542E+12	-15326376124	674.580091	191.190098	0.355972	0.363694	-0.935138	0.333563	0.583795	0.190569	5.6949E+14
0.4	0.15	0.45	109603650.3	5.67671E+14	2.67268E+12	-15434871029	678.573359	194.356835	0.345932	0.365117	-0.923864	0.337907	0.575388	0.1949	5.70344E+14
0.4	0.18	0.42	109962659.9	5.69396E+14	2.70132E+12	-15656353895	683.617994	198.128144	0.333891	0.365873	-0.909999	0.342156	0.564866	0.199601	5.72098E+14
0.4	0.21	0.39	110763737.7	5.73574E+14	2.74862E+12	-16082428169	690.199966	202.440141	0.318487	0.366435	-0.892219	0.346313	0.55146	0.204425	5.76322E+14
0.4	0.24	0.36	109131343.5	5.64549E+14	2.73588E+12	-16027289340	697.176488	207.034068	0.299708	0.367443	-0.871811	0.350214	0.53623	0.208244	5.67285E+14
0.4	0.27	0.33	108310229.5	5.6016E+14	2.74706E+12	-16245337840	705.76919	216.410995	0.278865	0.366967	-0.84867	0.353458	0.518932	0.211458	5.62907E+14
0.4	0.3	0.3	108119875.5	5.59429E+14	2.77464E+12	-16614357314	716.445982	233.38149	0.25759	0.365071	-0.825465	0.356256	0.501307	0.213871	5.62204E+14
0	0.85	0.15	109945502.8	6.06353E+14	3.51953E+12	-31076066422	1066.963583	585.924981	0.033908	0.137325	-0.428322	0.11651	0.215149	0.051703	6.09872E+14
0.4	0.33	0.27	108582822.4	5.62415E+14	2.82687E+12	-17186526570	729.351993	257.535446	0.234231	0.3608	-0.798857	0.356281	0.481536	0.21361	5.65242E+14
0.4	0.36	0.24	109841812.9	5.69698E+14	2.90193E+12	-17977691402	741.870305	279.640443	0.209383	0.353771	-0.771175	0.353547	0.460742	0.21061	5.726E+14
0.4	0.39	0.21	108785885.1	5.64338E+14	2.90088E+12	-18112891975	753.596474	297.759665	0.184951	0.346073	-0.745401	0.349553	0.441499	0.20515	5.67239E+14
0.4	0.42	0.18	107990040.5	5.6053E+14	2.90374E+12	-18269838471	765.896323	315.485339	0.162997	0.337545	-0.722344	0.345805	0.424087	0.19973	5.63434E+14
0.4	0.45	0.15	109110386.4	5.67317E+14	2.96265E+12	-18885766352	782.914536	338.789769	0.146238	0.330196	-0.702492	0.342834	0.40941	0.196283	5.7028E+14
0.4	0.48	0.12	110168090.8	5.73757E+14	3.01966E+12	-19438217386	805.665626	369.066348	0.133299	0.323912	-0.685578	0.341158	0.397075	0.194379	5.76777E+14
0.4	0.51	0.09	108277776.3	5.64326E+14	2.98362E+12	-19237859021	835.074197	412.264088	0.122365	0.318133	-0.670695	0.341208	0.386332	0.193192	5.67309E+14
0.4	0.54	0.06	108924906.1	5.69305E+14	3.03185E+12	-19819887110	878.91615	466.821596	0.114058	0.308837	-0.652585	0.338806	0.373585	0.191444	5.72337E+14
0.4	0.57	0.03	109667772.5	5.76265E+14	3.09532E+12	-20782847361	937.764149	526.121617	0.107892	0.289957	-0.62988	0.33196	0.356828	0.187165	5.79361E+14
0.4	0.6	0	110183103.5	5.82067E+14	3.15254E+12	-21784636563	997.813448	573.797355	0.102801	0.269371	-0.607184	0.321406	0.340118	0.181013	5.8522E+14
0	0.9	0.1	108340206.8	5.99464E+14	3.49925E+12	-30943213380	1147.401731	630.830797	0.038738	0.117312	-0.421211	0.102872	0.208678	0.04441	6.02963E+14
0.45	0	0.55	110415066.7	5.73193E+14	2.65917E+12	-15472282930	675.614672	194.193572	0.38654	0.355499	-0.968879	0.31736	0.608007	0.176524	5.75852E+14
0.45	0.0275	0.5225	109970098.3	5.70228E+14	2.64847E+12	-15301975758	678.811081	197.207059	0.381146	0.357176	-0.963013	0.320562	0.603838	0.179202	5.72876E+14
0.45	0.055	0.495	109704022.8	5.68249E+14	2.64323E+12	-15186254172	682.142336	200.005661	0.375123	0.35875	-0.956674	0.323623	0.599147	0.182017	5.70892E+14
0.45	0.0825	0.4675	109424112.3	5.66294E+14	2.63907E+12	-15094353499	685.399285	203.263303	0.369021	0.360049	-0.950051	0.326741	0.594235	0.184831	5.68933E+14
0.45	0.11	0.44	109411819.2	5.65728E+14	2.64398E+12	-15079330899	689.218914	206.445919	0.361966	0.361605	-0.942653	0.329989	0.58867	0.188007	5.68372E+14
0.45	0.1375	0.4125	109422723.7	5.65394E+14	2.65095E+12	-15108242721	693.208687	210.036301	0.354429	0.362829	-0.934273	0.333316	0.582468	0.191156	5.68045E+14
0.45	0.165	0.385	109526376.7	5.65603E+14	2.66334E+12	-15187816278	698.033657	213.803508	0.345583	0.363943	-0.924501	0.33673	0.575066	0.194763	5.68266E+14
0.45	0.1925	0.3575	109855183.6	5.67033E+14	2.68727E+12	-15374769238	704.212651	219.263419	0.334701	0.364814	-0.912064	0.340231	0.56576	0.198563	5.6972E+14
0.45	0.22	0.33	110419399	5.70083E+14	2.72208E+12	-15685540853	711.777235	228.044964	0.322466	0.364995	-0.897394	0.343648	0.554796	0.202459	5.72805E+14
0.45	0.2475	0.3025	108469949.6	5.5938E+14	2.69567E+12	-15485537909	721.022512	241.94328	0.306503	0.365606	-0.879376	0.347614	0.541451	0.206076	5.62075E+14
0	0.05	0.95	108035114.1	5.85476E+14	2.8436E+12	-25927386003	558.99156	94.482901	0.313762	0.369061	-0.845414	0.332271	0.532249	0.199808	5.8832E+14
0	0.95	0.05	109875963.5	6.08678E+14	3.56249E+12	-31508551392	1216.448425	656.939499	0.044261	0.106521	-0.419304	0.094548	0.206907	0.041142	6.1224E+14
0.45	0.275	0.275	109904173.7	5.674E+14	2.76793E+12	-16126160973	733.201618	260.301113	0.2904	0.36455	-0.859524	0.350899	0.526726	0.20983	5.70167E+14
0.45	0.3025	0.2475	109191197.3	5.63565E+14	2.77835E+12	-16260293393	744.880105	279.145058	0.27323	0.364048	-0.840631	0.354391	0.512576	0.21268	5.66343E+14
0.45	0.33	0.22	108972254.8	5.62669E+14	2.80142E+12	-16555752936	754.302916	291.264509	0.255948	0.362964	-0.821715	0.356766	0.49851	0.2144	5.6547E+14
0.45	0.3575	0.1925	109005368.6	5.63317E+14	2.82968E+12	-16933870666	764.441989	303.552467	0.238199	0.360215	-0.802024	0.357114	0.483862	0.214351	5.66147E+14
0.45	0.385	0.165	109725033.5	5.67739E+14	2.87868E+12	-17485718269	776.293272	319.513938	0.218969	0.354911	-0.780455	0.35517	0.467698	0.212023	5.70617E+14
0.45	0.4125	0.1375	108540533.1	5.61748E+14	2.87257E+12	-17562769131	790.791707	341.869311	0.196212	0.348285	-0.755961	0.352101	0.449606	0.207327	5.64621E+14
0.45	0.44	0.11	110209766.3	5.71691E+14	2.95103E+12	-18365153788	810.731508	368.584454	0.176128	0.338882	-0.73183	0.347936	0.431546	0.202613	5.74642E+14
0.45	0.4675	0.0825	108899199.1	5.65091E+14	2.9358E+12	-18351436987	836.96108	410.141178	0.157313	0.332274	-0.710786	0.346613	0.416347	0.198841	5.68027E+14
0.45	0.495	0.055	110287243.5	5.7379E+14	3.0031E+12	-19053278988	873.843496	458.136522	0.144125	0.324085	-0.691246	0.345128	0.40222	0.196761	5.76793E+14
0.45	0.5225	0.0275	108529165.3	5.65062E+14	2.9697E+12	-18899099794	910.503526	503.486835	0.133634	0.318194	-0.675898	0.345301	0.391552	0.195037	5.68032E+14
0	1	0	108846404.7	6.03378E+14	3.53642E+12	-31288148241	1280.641205	675.62281	0.046107	0.101685	-0.416196	0.088409	0.205145	0.039406	6.06915E+14
0.45	0.55	0	109405491	5.71119E+14	3.02021E+12	-19534069072	956.456178	547.059942	0.126814	0.309544	-0.660247	0.343309	0.380523	0.193259	5.7414E+14
0.5	0	0.5	108264448.9	5.60398E+14	2.59875E+12	-14779952636	687.56802	206.844934	0.385232	0.356363	-0.969102	0.318136	0.607824	0.176943	5.62996E+14
0.5	0.025	0.475	107985866.9	5.58431E+14	2.59123E+12	-14667483553	690.36577	209.594581	0.38086	0.357435	-0.964522	0.320518	0.604383	0.179134	5.61022E+14
0.5	0.05	0.45	110618109.3	5.72067E+14	2.66067E+12	-15227055576	695.392588	213.664993	0.376606	0.356856	-0.958396	0.321902	0.599817	0.181361	5.74728E+14
